id_branch	id_company	name_branch	address_branch	id_city	id_state	id_country	id_main_branch	id_flag_branch	id_type_branch	phone1_branch	phone2_branch	fax_branch	modem_branch	date_cre_branch	zip_branch	currency_pay_branch	exp_eco
IND1	000	INDUSIND BANK LTD. (NG ROAD BR.)	WORLD BUSINESS HOUSE M.G. ROAD NR. PARIMAL GARDEN ELIS BR.	IND14	IND2	IND	IND	I	P	079-642-6104	079-642-6105	079-656-4292		9/24/2003	0	N	
IND2	000	INDUSIND BANK LIMITED. (AVANASHI BR.)	5/132 MAIN ROAD AVANASHI	IN413	IND9	IND	IND	I	P	04296-263701	04296-263702	04296-263705		9/24/2003	0	N	
IND3	000	INDUSIND BANK [MG ROAD BR.]	DU PARC TRINITY 1ST FLOOR, WEST WING NO.17, MG ROAD	IND33	IND8	IND	IND	I	P	080 5592318	5592319/27/31	080 5592309		9/24/2003	0	N	
IND4	000	INDUSIND BANK LTD [ALKAPURI BR]	VANIJYA BHAVAN, RACE COURSE, ALKAPURI, BARODA	IN097	IND2	IND	IND	I	P	0265 2332409	2332415/16/18	0265 		9/24/2003	0	N	
INS 23	000	INDUSIND BANK LTD [ ANDHERI WEST BR]	MORYA ESTATE NEW LINK RD OSHIWARA ANDHERI[W] MUMBAI 400053	IND01	MUM	IND	IND	A	P	022 56951108	56951109/10	022 56951106		9/24/2003	0	N	
INS 25	000	INDUSIND BANK LTD [MOHALI BR]	SCF 23-24 PHASE 3 B-2 S A S NAGAR MOHALI CHANDIGARH 160 059	IND31	IND7	IND	IND	A	P	0172 222983-86		0172 222981		9/24/2003	0	N	
INS 26	000	INDUSIND BANK LTD 	PARMANAND COMPLEX SANALA ROAD MORBI 363 641[DIST.RAJKOT]	IN148	IND2	IND	IND	A	P	02822 51308 	51808	02822 51260		9/24/2003	0	N	
INS 28	000	INDUSIND BANK LTD [BARAKHAMBA RD BR]	DR GOPAL DAS BHAWAN 28 BARAKHAMBA RD N DELHI 110 001	IND26	IND5	IND	IND	A	P	011 23738040	23738407-08	1123738041		9/24/2003	0	N	
INS 29	000	INDUSIND BANK LTD [ VIKAS MARG BR]	 C61 PREET VIHAR VIKAS MARG N DELHI 110 092	IND26	IND5	IND	IND	A	P	11 22051623/28	22051632/44	11 22051644		9/24/2003	0	N	
INS 30	000	INDUSIND BANK LTD	SROOM 1 & 34 SHRIRAM SHYAM TOWER KINGSWAY SV PATIL MARG	IN348	MUM	IND	IND	A	P	712 547456	534188	712 547457		9/24/2003	0	N	
INS 31	000	INDUSIND BANK LTD [GT ROAD BR]	G T ROAD OPP BUS STAND PHAGWARA 144 401	IN385	IND4	IND	IND	A	P	1824 223422/24	223426	1824 223421		9/24/2003	0	N	
INS 32	000	INDUSIND BANK LTD [CAMP BR]	2401 GEN THIMAYYA ROAD EAST STREET PUNE 411 001	IN354	MUM	IND	IND	A	P	20 6355270	6343201/27-29	20 6343241		9/24/2003	0	N	
